"cases","defennm","NewOrgname","NewUltorg"
"{01-2009-5555}","PHIBRO ANIMAL HEALTH CORPORATION","Phibro Animal Health",
"{04-2007-3759}","PHELPS DODGE MAGNET WIRE COMPANY","Phelps Dodge Corp",
"{04-2007-3759,05-2009-1019,04-2005-3777}","PHELPS DODGE INDUSTRIES, INC.","Phelps Dodge Corp",
"{05-2002-0369}","PHELPS DODGE CORP","Phelps Dodge Corp",
"{03-2004-0087}","PHARMACIA CORPORATION/MONSANTO","Pharmacia Corp","Pfizer Inc"
"{02-2004-2011}","Pharmacia Corporation f/k/a Monsanto Company","Pharmacia Corp","Pfizer Inc"
"{03-2004-0171}","PHARMACIA CORPORATION A/K/A OLD MONSANTO","Pharmacia Corp","Pfizer Inc"
"{03-2004-0087}","PHARMACIA CORPORATION (FOR THE FORMER MONSATO CO)","Pharmacia Corp","Pfizer Inc"
"{02-2008-2011,02-2007-2006,02-2004-0006,04-2002-3777}","Pharmacia Corporation","Pharmacia Corp","Pfizer Inc"
"{04-2002-9006,03-2004-0411,01-2009-5555,01-2007-0518,01-2008-0504}","PHARMACIA CORPORATION","Pharmacia Corp","Pfizer Inc"
"{02-2007-2009}","Pharmacia Corp fka Monsanto Company","Pharmacia Corp","Pfizer Inc"
"{05-2002-0369}","PHARMACIA CORP","Pharmacia Corp","Pfizer Inc"
"{02-2003-0001}","Pharmacia & Upjohn S.P.A.","Pharmacia & Upjohn",
"{02-2003-0001}","Pharmacia & Upjohn S.P.A.","Pharmacia & Upjohn",
"{04-2004-3751}","PGA GOLF","PGA Tour",
"{04-2007-3759,04-2004-3751}","PFIZER, INC.","Pfizer Inc",
"{02-2008-2011}","Pfizer, Inc","Pfizer Inc",
"{02-2004-2011,02-2007-0030,09-2004-0357}","Pfizer Inc.","Pfizer Inc",
"{02-2007-2006,02-2007-2009}","Pfizer Inc","Pfizer Inc",
"{03-2001-0427,02-2001-2001}","PFIZER INC","Pfizer Inc",
"{03-2001-0427}","PERDUE FARMS INCORPORATED","Perdue Farms",
"{04-2007-3759}","PEPSICO, INC.","PepsiCo Inc",
"{04-2004-3751}","PEPSI COLA","PepsiCo Inc",
"{04-2002-3753}","Peoples Gas Company","Peoples Gas",
"{05-2007-0824,05-2007-0523}","PEOPLES GAS","Peoples Gas",
"{09-2009-2527}","Penske Truck Leasing Company","Penske Truck Leasing",
"{09-2009-2527}","Penske Truck Leasing Company","Penske Truck Leasing",
"{04-2003-3504}","PENSKE TRUCK LEASING CO., L.P.","Penske Truck Leasing",
"{04-2003-3504}","PENSKE TRUCK LEASING CO., L.P.","Penske Truck Leasing",
"{05-2001-0420}","PENSKE TRUCK LEASING CO.","Penske Truck Leasing",
"{05-2001-0420}","PENSKE TRUCK LEASING CO.","Penske Truck Leasing",
"{09-2009-2508}","Pennzoil-Quaker State Company","Pennzoil-Quaker State","Shell Oil"
"{09-2009-2508}","Pennzoil-Quaker State Company","Pennzoil-Quaker State","Shell Oil"
"{04-2003-3504,07-2004-0256}","PENNZOIL-QUAKER STATE COMPANY","Pennzoil-Quaker State","Shell Oil"
"{04-2003-3504,07-2004-0256}","PENNZOIL-QUAKER STATE COMPANY","Pennzoil-Quaker State","Shell Oil"
"{07-2001-0304}","PENNZOIL SULPHUR COMPANY","Penzoil Sulphur","Shell Oil"
"{09-2002-0184}","Pennzoil Co.","Pennzoil-Quaker State","Shell Oil"
"{03-2004-0086}","PENNSYLVANIA, COMMONWEALTH OF","Commonwealth of Pennsylvania",
"{03-2004-0086}","PENNSYLVANIA DEPARTMENT OF CONSERVATION & NATURAL","Pennsylvania Dept of Conservation","Commonwealth of Pennsylvania"
"{02-2009-2006,03-2007-0033}","PECO Energy Company","PECO Energy","Exelon Corp"
"{03-2001-0427}","PECO ENERGY COMPANY","PECO Energy","Exelon Corp"
"{09-2009-2527}","PB Fasteners","PB Fasteners",
"{03-2001-0427}","PATUXENT NAVAL AIR STATION","US Navy","US Dept of Defense"
"{05-2001-0401}","PARSONS COMPANY INC.","Parsons Corp",
"{07-2001-0304}","PARKER-HANNIFIN CORPORATION","Parker-Hannifin",
"{03-2002-0319}","PARKER HANNIFIN CORP","Parker-Hannifin",
"{01-2009-5555}","PARKER HANNAFIN CORPORATION","Parker-Hannifin",
"{08-2006-0159}","Pacificorp","PacifiCorp","Midamerica Energy Holdings"
"{08-2008-0016}","PacifiCorp","PacifiCorp","Midamerica Energy Holdings"
"{09-2006-0082}","Pacific Racing Association/Golden Gate Fields","Pacific Racing Association",
"{09-2009-2526}","Paccar, Inc.","Paccar Inc",
"{06-2005-3411}","OXY VINYLS LIMITED PARTNERSHIP","OxyVinyls","Occidental Petroleum"
"{05-2007-0832,04-2003-3521}","OXY USA, INC.","Oxy USA Inc","Occidental Petroleum"
"{04-2005-3785}","OXY USA, INC","Oxy USA Inc","Occidental Petroleum"
"{04-2001-3754}","OXY USA INC","Oxy USA Inc","Occidental Petroleum"
"{05-2001-0420}","OWENS-ILLINOIS, INC. (""OWENS-ILLINOIS"")","Owens-Illinois",
"{05-2005-0635,03-2001-0427}","OWENS-ILLINOIS, INC","Owens-Illinois",
"{04-2002-3753}","Owens-Illinois","Owens-Illinois",
"{09-2004-0357}","Owens Illinois","Owens-Illinois",
"{09-2004-0357}","Owens Corning","Owens Corning",
"{02-2005-0016}","OWENS CORNING","Owens Corning",
"{05-2002-0093}","OSHKOSH TRUCK CORPORATION","Oshkosh Corp",
"{04-2004-3751}","OSCEOLA FARMS","Osceola Farms","Flo-Sun Inc"
"{02-2009-2006}","Orange & Rockland Utilities","Orange & Rockland Utilities","Consolidated Edison Inc"
"{03-2004-0411}","OMEGA PROTEIN, INC","Omega Protein Corp",
"{03-2004-0411}","OMEGA PROTEIN, INC","Omega Protein Corp",
"{02-2007-2006,02-2008-2011,02-2005-0028}","Olin Corporation","Olin Corp",
"{02-2005-0028,02-2007-2006,02-2008-2011}","Olin Corporation","Olin Corp",
"{05-2002-0369,04-2001-9049,05-2004-0524,04-2003-9004}","OLIN CORPORATION","Olin Corp",
"{05-2004-0524,04-2003-9004,04-2001-9049,05-2002-0369}","OLIN CORPORATION","Olin Corp",
"{01-2007-0003}","OLIN  CORP.","Olin Corp",
"{01-2007-0003}","OLIN  CORP.","Olin Corp",
"{04-2004-3751}","OCEAN SPRAY","Ocean Spray Cranberries",
"{09-2002-0174}","Occidental Petroleum","Occidental Petroleum",
"{02-2004-2010,02-2004-0006,02-2008-2020,02-2004-2011}","Occidental Chemical Corporation","Occidental Chemical Corp","Occidental Petroleum"
"{04-2001-3754,02-2005-0016,03-2004-0087}","OCCIDENTAL CHEMICAL CORPORATION","Occidental Chemical Corp","Occidental Petroleum"
"{02-2007-2009}","Occidental Chemical Corp succ to Diamond Shamrock","Occidental Chemical Corp","Occidental Petroleum"
"{10-2005-0146,03-2004-0012,02-2008-2011,02-2001-2018}","OCCIDENTAL CHEMICAL CORP","Occidental Chemical Corp","Occidental Petroleum"
"{04-2001-3754}","OCCIDENTAL CHEMICAL AGRICULTURAL PRODUCT","Occidental Chemical Corp","Occidental Petroleum"
"{04-2001-3754}","OCCIDENTAL CHEMICAL & PHOSPHATE CORP.","Occidental Chemical Corp","Occidental Petroleum"
"{02-2007-8024}","NYC Dept. of Env. Protection","New York City Dept of Environmental Protection","City of New York, NY"
"{04-2001-9049}","NUCOR-TAMATO STEEL","Nucor Corp",
"{04-2009-5017}","NUCOR STEEL TUSCALOOSA, INC.","Nucor Corp",
"{04-2001-9049}","NUCOR CORP.","Nucor Corp",
"{02-2004-2011}","Novelis Corporation fka Alcan Corp &Alcan Aluminum","Novelis",
"{02-2005-0016}","NOVELIS CORPORATION","Novelis",
"{02-2007-2009}","Novelis Corp fka Alcan Aluminum Corp","Novelis",
"{02-2005-0014}","Novartis Pharmaceuticals Corp.","Novartis Corp","Novartis AG"
"{02-2005-0014}","Novartis Pharmaceuticals Corp.","Novartis Corp","Novartis AG"
"{02-2005-2034}","Novartis Pharmaceuticals Corp succ to Ciba-Giegy","Novartis Corp","Novartis AG"
"{02-2005-2034}","Novartis Pharmaceuticals Corp succ to Ciba-Giegy","Novartis Corp","Novartis AG"
"{03-2001-0427}","Novartis Corporation","Novartis Corp","Novartis AG"
"{03-2004-0087}","NOVARTIS CORPORATION","Novartis Corp","Novartis AG"
"{02-2001-0026}","NOVARTIS CORP","Novartis Corp","Novartis AG"
"{01-2001-0165}","NORTHWEST AIRLINES INC","Northwest Airlines",
"{03-2001-0427}","NORTHRUP GRUMMAN CORPORATION","Northrop Grumman",
"{02-2003-2012,09-2007-0073}","Northrup Grumman","Northrop Grumman",
"{02-2008-2011,02-2004-0006}","Northrop Grumman Systems Corporation","Northrop Grumman",
"{04-2009-3752}","NORTHROP GRUMMAN SYSTEMS CORPORATION","Northrop Grumman",
"{03-2004-0411}","NORTHROP GRUMMAN SYSTEMS","Northrop Grumman",
"{01-2009-5555}","NORTHROP GRUMMAN SYSTEM CORPORATION","Northrop Grumman",
"{02-2006-0015}","Northrop Grumman Ship Systems, Inc.","Northrop Grumman",
"{04-2006-3797}","NORTHROP GRUMMAN SHIP SYSTEMS, INC.","Northrop Grumman",
"{04-2009-4260}","NORTHROP GRUMMAN GUIDANCE & ELECTRONICS COMPANY","Northrop Grumman",
"{02-2009-2006}","Northrop Grumman Corp.","Northrop Grumman",
"{05-2002-0369}","NORTHFOLK SOUTHERN CORP","Norfolk Southern",
"{02-2009-2006}","Northern States Power Company","Northern States Power",
"{05-2001-0631}","NORTHERN STATES POWER COMPANY","Northern States Power",
"{04-2009-5020}","NORTH CAROLINA STATE UNIVERSITY","North Carolina State University",
"{02-2009-2006}","North American Philips","Philips Electronics North America",
"{04-2006-9034,03-2001-0427}","NORFOLK SOUTHERN RAILWAY COMPANY","Norfolk Southern",
"{02-2007-2009}","News Publishing australia Ltd succ to Chris-Craft","News Publishing Australia","News Corp"
"{02-2004-2011}","News Publishing Australia Ltd","News Publishing Australia","News Corp"
"{03-2001-0427}","NEWS PUBLISHING AUSTRALIA LTD","News Publishing Australia","News Corp"
"{02-2004-2011}","News America Inc.","News America","News Corp"
"{02-2004-2011}","News America Inc.","News America","News Corp"
"{02-2004-2011}","News America Inc.","News America","News Corp"
"{02-2009-2006}","Newmont USA Limited","Newmont USA","Newmont Mining"
"{10-2002-0134,10-2009-0026}","NEWMONT USA LIMITED","Newmont USA","Newmont Mining"
"{09-2008-2505}","Newmont Mining Corp of Canada Ltd","Newmont Mining of Canada","Newmont Mining"
"{09-2008-2505}","Newmont Mining Capital Limited","Newmont Mining",
"{03-2001-0427}","NEWELL RUBERMAID, INC","Newell Rubbermaid",
"{02-2007-2009}","Newell Rubbermaid Inc itself &Goody Products&Berol","Newell Rubbermaid",
"{02-2004-2011}","Newell Rubbermaid Inc","Newell Rubbermaid",
"{01-2002-0159}","NEWELL RUBBERMAID INC","Newell Rubbermaid",
"{04-2004-9006}","NEWARK AIR FORCE BASE","US Air Force","US Dept of Defense"
"{02-2002-0013}","NEW YORK, THE CITY OF","City of New York, NY",
"{02-2009-2006}","New York State Electric and Gas Corp.","New York State Electric & Gas",
"{02-2005-0025}","New York State Electric & Gas  Corporation","New York State Electric & Gas",
"{07-2001-0304}","NEW MEXICO STATE UNIVERSITY","New Mexico State University",
"{01-2004-0005}","NEW BALANCE ATHLETIC SHOES","New Balance Athletic Shoe",
"{02-2009-2006,04-2002-3753}","Nestle USA, Inc.","Nestle USA","Nestle SA"
"{04-2002-3753,02-2009-2006}","Nestle USA, Inc.","Nestle USA","Nestle SA"
"{07-2001-0304}","NESTLE FOOD COMPANY","Nestle USA","Nestle SA"
"{09-2004-0357}","Nestle","Nestle USA","Nestle SA"
"{09-2004-0357}","NEC America, Inc.","NEC Corp of America",
"{07-2004-0256}","NEBRASKA DEPT OF ADMINISTRATIVE SERVICES","Nebraska Dept of Administrative Services","State of Nebraska"
"{09-2004-0022,05-2008-0907}","NCR Corporation","NCR Corp",
"{04-2007-3759,05-2006-0750,05-2004-0515}","NCR CORPORATION","NCR Corp",
"{05-2006-0742}","NCR","NCR Corp",
"{03-2005-0060}","NAVY, DEPT OF NAVAL WEAPONS STATION YORKTOWN - CHE","US Navy","US Dept of Defense"
"{04-2002-3753}","Navistar International Transportation Corp.","Navistar International",
"{04-2002-3753}","Navistar International Transportation Corp.","Navistar International",
"{04-2004-9006}","NAVAL WEAPONS STATION-YORKTOWN NORFOLK","US Navy","US Dept of Defense"
"{03-2001-0094}","NAVAL SUPPORT ACTIVITY (FORMERLY NAVY SHIP PART..)","US Navy","US Dept of Defense"
"{04-2004-9006}","NAVAL RESEARCH LABORATORY","US Navy","US Dept of Defense"
"{03-2001-0427}","NAVAL MEDICAL COMMAND","US Navy","US Dept of Defense"
"{03-2001-0427}","NAVAL MEDIAL COMMAND","US Navy","US Dept of Defense"
"{03-2003-0180}","Naval Amphibious Base Little Creek","US Navy","US Dept of Defense"
"{03-2004-0195}","NAVAL AMPHIBIOUS BASE","US Navy","US Dept of Defense"
"{04-2004-9006}","NAVAL AMPHIBIAN BASE","US Navy","US Dept of Defense"
"{04-2004-9006}","NAVAL AIR STATION NORFOLK","US Navy","US Dept of Defense"
"{08-2002-0012}","Navajo Refining Company","Navajo Refining",
"{06-2002-3714}","NAVAJO REFINING COMPANY","Navajo Refining",
"{09-2004-0357}","National Semiconductor","National Semiconductor Corp",
"{09-2005-0102}","National Park Service: Kalaupapa Historical Park","National Park Service","US Dept of the Interior"
"{04-2002-5771}","National Park Service","National Park Service","US Dept of the Interior"
"{03-2001-0427}","NATIONAL PARK SERVICE","National Park Service","US Dept of the Interior"
"{03-2004-0087}","NATIONAL GYPSUM COMPANY","National Gypsum",
"{02-2009-2020}","National Grid","National Grid USA",
"{02-2009-2006}","National Fuel Gas Distribution Corporation","National Fuel Gas Corp",
"{02-2009-2006}","National Fuel Gas Distribution Corporation","National Fuel Gas Corp",
"{07-2003-0347}","NATIONAL COOPERATIVE REFINERY ASSOCIATION","National Cooperative Refinery Association",
"{07-2001-0170}","NATIONAL COOPERATIVE REFINERY ASSOC","National Cooperative Refinery Association",
"{09-2004-0022}","National Broadcasting Company","NBC Broadcasting","General Electric"
"{03-2001-0427}","NATIONAL AVIATION SPACE ADMINISTRATION","NASA",
"{03-2001-0427}","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA",
"{04-2004-9006}","NASA WOLLOPS ISLAND SPACE FLIGHT CENTER","NASA",
"{04-2004-9006}","NASA MARSHALL SPACE FLIGHT CENTER","NASA",
"{03-2001-0427}","NASA LANGLEY RESERACH CENTER","NASA",
"{09-2009-2527}","Nalco Chemical Co","Nalco Chemical","Nalco Co"
"{09-2009-2527}","Nalco Chemical Co","Nalco Chemical","Nalco Co"
"{04-2004-9006}","MYRTLE BEACH AIR FORCE BASE","US Air Force","US Dept of Defense"
"{03-2001-0427}","MURRAY CORPORATION","Murray Corp",
"{08-2001-0143}","MURPHY EXPLORATION AND PRODUCTION CO.","Murphy Exploration & Production","Murphy Oil"
"{08-2004-0165}","Murphy Exploration & Production","Murphy Exploration & Production","Murphy Oil"
"{02-2009-2006}","Mosaic Fertilizer LLC.","Mosaic Fertilizer","Mosaic Co"
"{02-2009-2006}","Mosaic Fertilizer LLC.","Mosaic Fertilizer","Mosaic Co"
"{06-2006-3408}","Mosaic Fertilizer","Mosaic Fertilizer","Mosaic Co"
"{06-2006-3408}","Mosaic Fertilizer","Mosaic Fertilizer","Mosaic Co"
"{07-2003-0180}","MORRISON ENTERPRISES","Morrison Enterprises",
"{07-2003-0180}","MORRISON ENTERPRISES","Morrison Enterprises",
"{03-2004-0411}","MORGAN STANLEY SERVICES COMPANY, INC","Morgan Stanley",
"{03-2004-0087}","MORGAN STANLEY SERVICES","Morgan Stanley",
"{04-2004-9006}","MOODY AIR FORCE BASE","US Air Force","US Dept of Defense"
"{01-2008-0503}","MONY LIFE INSURANCE CO","MONY Life Insurance","AXA"
"{08-2002-0012}","Montana Refining Company","Montana Refining Co",
"{08-2002-0012}","Montana Refining Company","Montana Refining Co",
"{04-2002-3777}","Monsanto Corporation","Monsanto Co",
"{04-2002-9006}","MONSANTO COMPANY","Monsanto Co",
"{03-2004-0171}","MONSANTO CO","Monsanto Co",
"{05-2002-0369}","MONSANTO CHEMICAL CO","Monsanto Co",
"{01-2003-0004}","MONSANTO","Monsanto Co",
"{01-2001-0121}","MOBIL OIL/EXXON MOBIL CORP","Exxon Mobil",
"{09-2004-0412}","Mobil Oil Corporation","Mobil Oil","Exxon Mobil"
"{07-2001-0304,05-2002-0369}","MOBIL OIL CORPORATION","Mobil Oil","Exxon Mobil"
"{01-2001-0121}","MOBIL OIL CORP","Mobil Oil","Exxon Mobil"
"{09-2005-0223}","Mobil Oil Company","Mobil Oil","Exxon Mobil"
"{09-2004-0357}","Mitsubishi Silicon America","Mitsubishi Silicon America","Mitsubishi Group"
"{07-2004-0256}","MISSOURI DEPARTMENT OF TRANSPORTATION","Missouri Dept of Transportation","State of Missouri"
"{04-2005-4750}","MISSISSIPPI BAND OF CHOCTAW INDIANS","Mississippi Band of Choctaw Indians",
"{03-2002-0184}","MIRANT MID-ATLANTIC, LLC","Mirant Corp",
"{03-2002-0184}","MIRANT CORPORATION","Mirant Corp",
"{02-2009-2006}","Milliken & Company","Milliken & Co",
"{04-2007-3759}","MILLIKEN & COMPANY","Milliken & Co",
"{04-2004-9006}","MILLIKEN","Milliken & Co",
"{05-2002-0093}","MILLER BREWING COMPANY","Miller Brewing","SABMiller"
"{04-2002-3753,02-2003-2012}","Miller Brewing Co.","Miller Brewing","SABMiller"
"{04-2004-9006}","MIDLAND ROSS (BY HONEYWELL INT'L)","Midland-Ross Corp","Honeywell International"
"{07-2007-0218,07-2008-0254}","MIDAMERICAN ENERGY COMPANY","MidAmerica Energy Holdings","Berkshire Hathaway"
"{05-2005-0151,02-2009-2006}","Michigan Sugar Company","Michigan Sugar",
"{02-2009-2006}","Michigan Consolidated Gas Company","Michigan Consolidated Gas Co",
"{04-2003-3504}","MICHELIN NORTH AMERICA, INC.","Michelin North America",
"{07-2001-0304}","MICHELIN NORTH AMERICA, INC","Michelin North America",
"{02-2008-2011,02-2004-0006}","Merck & Co., Inc.","Merck & Co",
"{03-2004-0087}","MERCK & CO., INC.","Merck & Co",
"{03-2004-0411}","MERCK & CO., INC","Merck & Co",
"{02-2009-2006}","Merck & Co.","Merck & Co",
"{03-2004-0087}","MERCK & CO, INC","Merck & Co",
"{02-2001-2001}","MERCK & CO INC","Merck & Co",
"{WF-2006-1001}","Mercedes-Benz USA, LLC","Mercedes-Benz USA",
"{08-2006-0052}","Menard, Inc.","Menard Inc",
"{04-2005-3777}","MEADWESTVACO CORPORATION","MeadWestvaco Corp",
"{01-2009-5555}","MEAD WESTVACO CORPORATION","MeadWestvaco Corp",
"{04-2001-9051}","MEAD CORPORATION","Mead Corp","MeadWestvaco Corp"
"{04-2008-9009}","MDC/WOOD, INC.","MDC/Wood Inc","MDC Holdings"
"{04-2005-3777}","MCWANE, INC.","McWane Inc",
"{06-2006-3319}","McWane","McWane Inc",
"{04-2003-3504}","MCLANE SOUTHERN, INC.","McLane Co","Berkshire Hathaway"
"{03-2004-0411}","MCKESSON CORPORATION","McKesson Corp",
"{04-2004-9006}","MCGRAW-EDISON (BY COOPER INDUSTRIES, LLC)","McGraw-Edison","Cooper Industries"
"{05-2004-0524,04-2005-9033}","MCGRAW EDISON COMPANY","McGraw-Edison","Cooper Industries"
"{09-2002-0183}","McDonnell Douglas Corporation","McDonnell Douglas","Boeing Co"
"{07-2004-0256}","MCDONNELL DOUGLAS CORPORATION","McDonnell Douglas","Boeing Co"
"{02-2009-2006,09-2009-2527}","McDonald's Corporation","McDonald's Corp",
"{03-2001-0427}","MC KESSON CORPORATION","McKesson Corp",
"{05-2003-0405}","MAYTAG CORPORATION (JENN-AIR)","Maytag Corp","Whirlpool Corp"
"{02-2009-2006}","Maytag Corporation","Maytag Corp","Whirlpool Corp"
"{04-2007-9016}","MAYTAG CORPORATION","Maytag Corp","Whirlpool Corp"
"{03-2005-0380,04-2006-9037}","MASSEY ENERGY COMPANY","Massey Energy",
"{04-2006-9037}","MASSEY COAL SERVICES, INC.","Massey Coal Services","Massey Energy"
"{01-2009-0003}","MASSACHUSETTS STATE POLICE","Massachusetts State Police","Commonwealth of Massachusetts"
"{01-2009-0003}","MASSACHUSETTS DEPT OF CONSERVATION & REC","Massachusetts Dept of Conservation & Recreation","Commonwealth of Massachusetts"
"{02-2009-2006}","Massachusetts Department of Public Health","Massachusetts Dept of Public Health","Commonwealth of Massachusetts"
"{01-2007-0522}","MASSACHUSETTS BAY TRANSPORTATION AUTHORITY","Massachusetts Bay Transportation Authority","Commonwealth of Massachusetts"
"{01-2006-0203}","MASS STATE POLICE","Massachusetts State Police","Commonwealth of Massachusetts"
"{09-2004-0357}","MascoTech","MascoTech","Masco Corp"
"{09-2002-0174}","Masco Corporation","Masco Corp",
"{03-2001-0427}","MARYLAND TRANSPORTATION AUTHORITY","Maryland Transportation Authority","State of Maryland"
"{03-2001-0427}","MARYLAND PORT ADMINISTRATION","Maryland Port Administration","State of Maryland"
"{03-2001-0427}","MARYLAND DEPARTMENT OF TRANSPORTATION","Maryland Dept of Transportation","State of Maryland"
"{03-2001-0427}","MARYLAND DEPARTMENT OF STATE POLICE","Maryland State Police","State of Maryland"
"{04-2005-9031}","MARTIN MARIETTA","Martin Marietta Materials",
"{03-2001-0427}","MARKEL CORPROATION","Markel Corp",
"{04-2009-5144}","MARATHON PIPE LINE, LLC","Marathon Pipe Line","Marathon Petroleum"
"{04-2007-3759}","MARATHON PIPE LINE LLC","Marathon Pipe Line","Marathon Petroleum"
"{05-2003-0405}","MARATHON PIPE LINE COMPANY","Marathon Pipe Line","USX Corp"
"{04-2007-3759}","MARATHON PETROLEUM COMPANY LLC","Marathon Petroleum","Marathon Petroleum"
"{02-2009-2006}","Marathon Oil Corp.","Marathon Oil","Marathon Petroleum"
"{04-2007-3759,08-2001-0143}","MARATHON OIL COMPANY","Marathon Oil","Marathon Petroleum"
"{09-2002-0174}","Marathon Oil Co.","Marathon Oil","USX Corp"
"{02-2008-2011}","ManorCare Health Services, Inc","Manor Care Inc",
"{02-2007-2006}","ManorCare Health Services Inc","Manor Care Inc",
"{02-2008-2011}","Manor Care, Inc","Manor Care Inc",
"{02-2008-2011}","Manor Care of America, Inc.","Manor Care Inc",
"{02-2004-0006}","Manor Care of America, Inc","Manor Care Inc",
"{02-2007-2006}","Manor Care of America Inc","Manor Care Inc",
"{02-2007-2006}","Manor Care Inc","Manor Care Inc",
"{02-2004-0006}","Manor Care Health Services, Inc.","Manor Care Inc",
"{02-2004-2011}","Mallinckrodt, Inc.","Mallinckrodt Inc","Tyco International"
"{02-2008-2011}","Mallinckrodt Inc.,","Mallinckrodt Inc","Tyco International"
"{05-2001-0401}","MALLINCKRODT INC.","Mallinckrodt Inc","Tyco International"
"{02-2007-2009}","Mallinckrodt Inc","Mallinckrodt Inc","Tyco International"
"{01-2004-0005,07-2005-0408,07-2008-0137}","MALLINCKRODT INC","Mallinckrodt Inc","Tyco International"
"{05-2002-0369}","MALLINCKRODT CHEMICAL","Mallinckrodt Inc","Tyco International"
"{02-2004-0006}","Mallinckrodt Baker, Inc.","Mallinckrodt Baker Inc","Tyco International"
"{02-2008-2011}","Mallinckrodt Baker, Inc","Mallinckrodt Baker Inc","Tyco International"
"{03-2001-0427}","MALLINCKRODT BAKER, INC","Mallinckrodt Baker Inc","Tyco International"
"{02-2007-2006}","Mallinckrodt Baker Inc","Mallinckrodt Baker Inc","Tyco International"
"{01-2009-0533,01-2004-0014}","MAINE STATE POLICE","Maine State Police","State of Maine"
"{01-2004-0014}","MAINE DOT","Maine Dept of Transportation","State of Maine"
"{01-2009-0533}","MAINE DEPT OF TRANSPORATION","Maine Dept of Transportation","State of Maine"
"{01-2005-0011}","MAINE DEPARTMENT OF TRANSPORATION","Maine Dept of Transportation","State of Maine"
"{07-2002-0219}","MAGELLEN PIPELINE COMPANY","Magellan Pipeline Co","Magellan Midstream Partners"
"{06-2009-4883}","Magellan Midstream Partners","Magellan Midstream Partners",
"{07-2005-0424}","MAGELLAN AMMONIA PIPELINE, LP","Magellan Ammonia Pipeline","Magellan Midstream Partners"
"{09-2006-0082}","MAFCO/Pneumo Abex","MAFCO/Pneumo Abex","Mafco Consolidated Group"
"{05-2001-0420}","MADISON GAS AND ELECTRIC COMPANY","Madison Gas & Electric",
"{05-2001-0420}","MADISON GAS AND ELECTRIC COMPANY","Madison Gas & Electric",
"{02-2009-2006}","Macy's East","Macy's East","Macy's Inc"
"{02-2004-0006}","Mack Trucks, Inc.","Mac Trucks","Volvo Group North America"
"{02-2005-0016}","MACK TRUCKS, INC.","Mac Trucks","Volvo Group North America"
"{02-2008-2011}","Mack Trucks, Inc","Mac Trucks","Volvo Group North America"
"{03-2001-0427}","MACK TRUCKS, INC","Mac Trucks","Volvo Group North America"
"{02-2007-2006}","Mack Trucks Inc","Mac Trucks","Volvo Group North America"
"{09-2005-0275}","Macerich Property Management Company, LLC","Macerich Co",
"{04-2008-9009}","M.D.C. HOLDINGS, INC.","MDC Holdings",
"{02-2009-0015}","Lyondell Chemical Company, Inc.","Lyondell Chemical",
"{06-2007-2815}","Lyondell Chemical","Lyondell Chemical",
"{03-2004-0088,07-2001-0304}","LUCENT TECHNOLOGIES, INC","Lucent Technologies","Alcatel-Lucent"
"{03-2004-0088,07-2001-0304}","LUCENT TECHNOLOGIES, INC","Lucent Technologies","Alcatel-Lucent"
"{02-2004-2011,02-2008-2011,02-2004-0006}","Lucent Technologies Inc.","Lucent Technologies","Alcatel-Lucent"
"{02-2008-2011,02-2004-0006,02-2004-2011}","Lucent Technologies Inc.","Lucent Technologies","Alcatel-Lucent"
"{03-2006-0051}","LUCENT TECHNOLOGIES INC.","Lucent Technologies","Alcatel-Lucent"
"{03-2006-0051}","LUCENT TECHNOLOGIES INC.","Lucent Technologies","Alcatel-Lucent"
"{02-2007-2006}","Lucent Technologies inc","Lucent Technologies","Alcatel-Lucent"
"{02-2007-2006}","Lucent Technologies inc","Lucent Technologies","Alcatel-Lucent"
"{02-2007-2009}","Lucent Technologies Inc","Lucent Technologies","Alcatel-Lucent"
"{02-2007-2009}","Lucent Technologies Inc","Lucent Technologies","Alcatel-Lucent"
"{02-2001-2001,07-2008-0137}","LUCENT TECHNOLOGIES INC","Lucent Technologies","Alcatel-Lucent"
"{02-2001-2001,07-2008-0137}","LUCENT TECHNOLOGIES INC","Lucent Technologies","Alcatel-Lucent"
"{05-2003-0405}","LUCENT TECHNOLOGIES (AT&T)","Lucent Technologies","Alcatel-Lucent"
"{05-2003-0405}","LUCENT TECHNOLOGIES (AT&T)","Lucent Technologies","Alcatel-Lucent"
"{04-2001-9049}","LUCENT TECHNOLOGIES","Lucent Technologies","Alcatel-Lucent"
"{04-2001-9049}","LUCENT TECHNOLOGIES","Lucent Technologies","Alcatel-Lucent"
"{02-2005-2034}","Lucent Technoligies Inc.","Lucent Technologies","Alcatel-Lucent"
"{02-2009-2006}","Lubrizol Corporation","Lubrizol Corp",
"{04-2007-3759,05-2004-0528}","LUBRIZOL CORPORATION","Lubrizol Corp",
"{03-2001-0423}","LTV STEEL COMPANY","LTV Steel","LTV Corp"
"{03-2001-0423}","LTV STEEL COMPANY","LTV Steel","LTV Corp"
"{07-2001-0304}","LTV STEEL","LTV Steel","LTV Corp"
"{07-2001-0304}","LTV STEEL","LTV Steel","LTV Corp"
"{02-2009-2006}","Lozier Wire Products","Lozier Corp",
"{04-2003-3504}","LOUISIANA-PACIFIC CORP.","Louisiana-Pacific Corp",
"{09-2004-0357}","Los Angeles Unified School District","Los Angeles Unified School District",
